,LOAD_ID,STOP_ID,STOP_SEQUENCE,STOP_TYPE,ACTIVITY_TYPE,APPOINTMENT_FROM,APPOINTMENT_TO,CITY,STATE,POSTAL_CODE,TIME_ZONE,COUNTRY,CREATED_DATE,UPDATED_DATE,APPOINTMENT_STATE
0,4005707579,OTM_ST171923305_361165680,1,P,,2024-09-30 16:00:00,2024-09-30 16:00:00,Atlanta,GA,30316-4724,US/Eastern,USA,2024-09-30 15:48:27.484,2024-09-30 15:48:27.499,A
1,4005707579,OTM_ST171923305_360925637,2,D,,2024-09-27 18:00:00,2024-09-27 18:00:00,Albany,GA,31705-7508,US/Eastern,USA,2024-09-30 15:48:27.490,2024-09-30 15:48:27.499,A
2,4005778803,OTM_ST172209689_362584394,1,P,,2024-09-30 12:07:00,2024-09-30 12:07:00,Boise City,OK,73933,US/Central,USA,2024-09-26 00:04:20.620,2024-09-30 06:06:06.547,A
3,4005778803,OTM_ST172209689_363278029,2,D,,2024-09-30 12:17:00,2024-09-30 12:17:00,Boise City,OK,73933,US/Central,USA,2024-09-26 00:04:20.610,2024-09-30 06:06:06.547,A
4,4005815074,OTM_ST172352815_363278023,1,P,,2024-10-03 02:57:37,2024-10-03 02:57:37,Boise City,OK,73933,US/Central,USA,2024-09-25 20:29:29.701,2024-09-25 20:29:29.704,A
5,4005815074,OTM_ST172352815_362361334,2,D,,2024-10-03 15:00:00,2024-10-03 15:00:00,Houston,TX,77041-2668,US/Central,USA,2024-09-25 20:29:29.691,2024-09-25 20:29:29.704,A
6,4005846617,OTM_ST172482263_363934527,1,P,,2024-10-01 12:30:00,2024-10-01 12:30:00,Kansas City,MO,64161,US/Central,USA,2024-09-27 15:56:05.315,2024-09-29 21:26:53.528,A
7,4005846617,OTM_ST172482263_363736633,2,D,,2024-10-01 13:00:00,2024-10-01 13:00:00,Kansas City,KS,66106-1047,US/Central,USA,2024-09-27 15:56:05.305,2024-09-29 21:26:53.528,A
8,4005855805,OTM_ST172522672_364127405,1,P,,2024-09-30 11:07:00,2024-09-30 11:07:00,Seville,OH,44273-8865,US/Eastern,USA,2024-09-25 17:16:56.858,2024-09-30 06:03:28.132,A
9,4005855805,OTM_ST172522672_364036708,2,D,,2024-10-04 10:00:00,2024-10-04 10:00:00,Sebring,OH,44672-1337,US/Eastern,USA,2024-09-25 17:16:56.853,2024-09-30 06:03:28.132,A
10,4005855805,OTM_ST172522672_364036709,3,D,,2024-10-04 15:00:00,2024-10-04 15:00:00,Bedford Heights,OH,44146-1727,US/Eastern,USA,2024-09-25 17:16:56.811,2024-09-30 06:03:28.132,A
11,4005865373,OTM_ST172559341_364301596,1,P,,2024-09-30 12:07:00,2024-09-30 12:07:00,Laredo,TX,78045-7973,US/Central,USA,2024-09-20 06:04:48.351,2024-09-30 06:07:05.301,A
12,4005865373,OTM_ST172559341_363513900,2,D,,2024-09-16 14:00:00,2024-09-17 03:00:00,Laredo,TX,78045-2029,US/Central,USA,2024-09-20 06:04:48.359,2024-09-30 06:07:05.301,A
13,4005881473,OTM_ST172632381_364680378,1,P,,2024-09-30 13:07:00,2024-09-30 13:07:00,Denver,CO,80216-2091,US/Mountain,USA,2024-09-12 06:04:38.604,2024-09-30 06:07:29.034,A
14,4005881473,OTM_ST172632381_364211089,2,D,,2024-09-09 14:00:00,2024-09-09 14:00:00,Denver,CO,80216-2091,US/Mountain,USA,2024-09-12 06:04:38.613,2024-09-30 06:07:29.034,A
15,4005886357,OTM_ST172656992_364804296,1,P,,2024-10-07 14:00:00,2024-10-07 14:00:00,Suffolk,VA,23434-7451,US/Eastern,USA,2024-09-30 17:12:12.990,2024-09-30 17:12:13.009,A
16,4005886357,OTM_ST172656992_364804295,2,D,,2024-10-08 04:01:00,2024-10-10 03:59:00,Marengo,OH,43334,US/Eastern,USA,2024-09-30 17:12:13.000,2024-09-30 17:12:13.009,A
17,4005890855,OTM_ST172678119_364913007,1,P,,2024-10-04 13:40:00,2024-10-04 13:40:00,Wilmer,TX,75172,US/Central,USA,2024-09-23 17:54:20.485,2024-09-23 22:22:16.501,A
18,4005890855,OTM_ST172678119_364440955,2,D,,2024-10-04 14:00:00,2024-10-04 14:00:00,Dallas,TX,75241-7203,US/Central,USA,2024-09-23 17:54:20.479,2024-09-23 22:22:16.501,A
19,4005901821,OTM_ST172729547_365194487,1,P,,2024-10-08 14:02:48,2024-10-08 14:02:48,Cedar Rapids,IA,52404-4773,US/Central,USA,2024-09-22 20:16:10.700,2024-09-23 21:32:49.593,A
20,4005901821,OTM_ST172729547_364375104,2,D,,2024-10-08 14:30:00,2024-10-08 14:30:00,Iowa City,IA,52240-8132,US/Central,USA,2024-09-22 20:16:10.707,2024-09-23 21:32:49.593,A
21,4005902475,OTM_ST172732420_365210205,1,P,,2024-10-04 03:31:00,2024-10-04 03:31:00,Atlanta,GA,30316-4724,US/Eastern,USA,2024-09-18 19:18:34.558,2024-09-30 15:20:16.942,A
22,4005902475,OTM_ST172732420_364956772,2,D,,2024-10-04 04:01:00,2024-10-05 03:59:00,Atlanta,GA,30339-1966,US/Eastern,USA,2024-09-18 19:18:34.543,2024-09-30 15:20:16.942,A
23,4005904237,OTM_ST172741920_365263732,1,P,,2024-10-11 17:30:00,2024-10-11 17:30:00,Greencastle,PA,17225-9047,US/Eastern,USA,2024-09-18 12:58:28.321,2024-09-18 12:58:28.336,A
24,4005904237,OTM_ST172741920_365263733,2,D,,2024-10-12 08:00:00,2024-10-12 08:00:00,Chesapeake,VA,23321-1425,US/Eastern,USA,2024-09-18 12:58:28.331,2024-09-18 12:58:28.336,A
25,4005905260,OTM_ST172746110_365283880,1,P,,2024-09-30 11:07:00,2024-09-30 11:07:00,Carlisle,PA,17015-8880,US/Eastern,USA,2024-09-26 16:54:46.704,2024-09-30 06:03:29.111,A
26,4005905260,OTM_ST172746110_365258288,2,D,,2024-10-04 13:30:00,2024-10-04 13:30:00,Mount Crawford,VA,22841-2029,US/Eastern,USA,2024-09-26 16:54:46.698,2024-09-30 06:03:29.111,A
27,4005905372,OTM_ST172414251_363588191,1,P,,2024-09-30 11:07:00,2024-09-30 11:07:00,Carlisle,PA,17015-8880,US/Eastern,USA,2024-09-19 15:22:48.213,2024-09-30 06:05:44.408,A
